Date,Close/Last,Volume,Open,High,Low
10/06/2022,1720.9,134333,1725.5,1734.2,1714.8
10/05/2022,1720.8,168000,1734.4,1736.6,1708.8
10/04/2022,1730.5,199426,1708.4,1738.7,1704
10/03/2022,1702,207858,1670.5,1710.4,1666.5
09/30/2022,1672,173144,1669.5,1684.4,1667.5
09/29/2022,1668.6,196633,1669,1673.1,1649.3
09/28/2022,1670,270952,1636.5,1671.6,1622.2
09/27/2022,1636.2,192565,1629.2,1650.1,1628.7
09/26/2022,1633.4,213873,1651,1657.2,1627.7
09/23/2022,1655.6,236570,1680.1,1685,1646.6
09/22/2022,1681.1,232407,1682.8,1693.5,1663.3
09/21/2022,1675.7,221902,1673.2,1696.9,1661.3
09/20/2022,1671.1,140765,1684.9,1688.8,1668.1
09/19/2022,1678.2,138336,1685.4,1688.8,1667.6
09/16/2022,1683.5,209506,1673.7,1689.9,1661.9
09/15/2022,1677.3,257001,1707.2,1707.8,1668.9
09/14/2022,1709.1,159797,1711.6,1717.3,1703.3
09/13/2022,1717.4,228966,1736,1742.9,1706.7
09/12/2022,1740.6,152588,1728.4,1746.4,1722.3
09/09/2022,1728.6,151576,1719.6,1740.5,1719.4
09/08/2022,1720.2,182302,1729.5,1739.4,1713.7
09/07/2022,1727.8,169690,1712.9,1731.2,1701.7
09/06/2022,1712.9,202021,1724.2,1737.4,1710.6
